Goal,Target,Indicator,Indicator Description,PDF Link
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.b.1:,"Indicator 2.b.1:
 		      							Agricultural export subsidies",/sdgs/metadata/files/Metadata-02-0B-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.b.1:,"Indicator 2.b.1:
 		      							Agricultural export subsidies",/sdgs/metadata/files/Metadata-02-0B-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.c.1:,"Indicator 2.c.1:
 		      							Indicator of food price anomalies",/sdgs/metadata/files/Metadata-02-0C-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.1: By 2030, end hunger and ensure access by all people, in particular the poor and people in vulnerable situations, including infants, to safe, nutritious and sufficient food all year round",Indicator 2.c.1:,"Indicator 2.c.1:
 		      							Indicator of food price anomalies",/sdgs/metadata/files/Metadata-02-0C-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-02a.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-02a.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-02b.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-02b.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-03.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.2.1:,"Indicator 2.2.1:
 		      							Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age",/sdgs/metadata/files/Metadata-02-02-03.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01proxy.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01proxy.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01a.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01a.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01b.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01b.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.b.1:,"Indicator 2.b.1:
 		      							Agricultural export subsidies",/sdgs/metadata/files/Metadata-02-0B-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.b.1:,"Indicator 2.b.1:
 		      							Agricultural export subsidies",/sdgs/metadata/files/Metadata-02-0B-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.c.1:,"Indicator 2.c.1:
 		      							Indicator of food price anomalies",/sdgs/metadata/files/Metadata-02-0C-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.2: By 2030, end all forms of malnutrition, including achieving, by 2025, the internationally agreed targets on stunting and wasting in children under 5 years of age, and address the nutritional needs of adolescent girls, pregnant and lactating women and older persons",Indicator 2.c.1:,"Indicator 2.c.1:
 		      							Indicator of food price anomalies",/sdgs/metadata/files/Metadata-02-0C-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.3.1:,"Indicator 2.3.1:
 		      							Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size",/sdgs/metadata/files/Metadata-02-03-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01proxy.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01proxy.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01a.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01a.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01b.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-01b.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.5.1:,"Indicator 2.5.1:
 		      							Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities",/sdgs/metadata/files/Metadata-02-05-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-02.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.a.1:,"Indicator 2.a.1:
 		      							The agriculture orientation index for government expenditures",/sdgs/metadata/files/Metadata-02-0A-02.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.b.1:,"Indicator 2.b.1:
 		      							Agricultural export subsidies",/sdgs/metadata/files/Metadata-02-0B-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.b.1:,"Indicator 2.b.1:
 		      							Agricultural export subsidies",/sdgs/metadata/files/Metadata-02-0B-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.c.1:,"Indicator 2.c.1:
 		      							Indicator of food price anomalies",/sdgs/metadata/files/Metadata-02-0C-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.3: By 2030, double the agricultural productivity and incomes of small-scale food producers, in particular women, indigenous peoples, family farmers, pastoralists and fishers, including through secure and equal access to land, other productive resources and inputs, knowledge, financial services, markets and opportunities for value addition and non-farm employment",Indicator 2.c.1:,"Indicator 2.c.1:
 		      							Indicator of food price anomalies",/sdgs/metadata/files/Metadata-02-0C-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01.docx
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01proxy.pdf
"Goal 2. End hunger, achieve food security and improved nutrition and promote sustainable agriculture","Target 2.4: By 2030, ensure sustainable food production systems and implement resilient agricultural practices that increase productivity and production, that help maintain ecosystems, that strengthen capacity for adaptation to climate change, extreme weather, drought, flooding and other disasters and that progressively improve land and soil quality",Indicator 2.4.1:,"Indicator 2.4.1:
 		      							Proportion of agricultural area under productive and sustainable agriculture",/sdgs/metadata/files/Metadata-02-04-01proxy.docx
